module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Guardrails Fiscal,grf-profile,Profila il progetto,GP,"Raccoglie in pochi minuti gli otto campi che danno contesto a tutte le figure, criticità inclusa.",profile,,1-analysis,,,true,{project-root}/_bmad/memory/grl-shared,project-profile.md
Guardrails Fiscal,grf-profile,Aggiorna il profilo,GA,"Riallinea il profilo quando il progetto cambia, e dice se il cambiamento invalida rischi già accettati.",update-profile,,anytime,grf-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,project-profile.md aggiornato
Guardrails Fiscal,grf-board,Convoca il collegio,GB,"Fa leggere lo stesso artefatto alle sole figure pertinenti e restituisce un riepilogo unico, conflitti compresi.",review,[path],anytime,grf-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,"riepilogo in conversazione, righe in decisions.md e accepted-risks.md"
Guardrails Fiscal,grf-board,Rischi già accettati,GR,"Mostra, raggruppato per figura, quello che il progetto ha consapevolmente scelto di accettare.",accepted-risks,,anytime,grf-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,elenco in conversazione
Guardrails Fiscal,grf-board,Gate di rilascio,GG,"Verifica una release identificata e restituisce GO, GO_CON_CONDIZIONI, NO_GO o EVIDENZA_INSUFFICIENTE.",release-gate,[path],anytime,grf-profile:profile,,false,{output_folder}/release-gates,{release_slug}-{gate_started_at_utc}.md
Guardrails Fiscal,grl-agent-fiscal,Marta — fisco e finanza agevolata,GT,"Ricerca fonti fiscali, contabili e di finanza agevolata, verifica requisiti, scadenze, spese ammissibili e rendicontazione con una fonte primaria.",consult,,anytime,grf-profile:profile,,false,,"fonti Agenzia delle Entrate, Normattiva, Gazzetta Ufficiale, MIMIT, Invitalia, bandi, incentivi, IVA, contributi e pre-screening"
Guardrails Fiscal,grl-fiscal-updates,Ultime novità fiscali,FN,"Recupera norme fiscali, circolari, bollettini, emendamenti, bandi e incentivi nel periodo indicato, con ricerca live, matrice di copertura, lineage di vigenza e due gate bmad-review.",research,[periodo|dal],anytime,,grl-agent-fiscal:consult,false,{planning_artifacts}/research,"digest con fonti primarie, as_of, copertura dichiarata, requisiti/versioni, registro delle verifiche e staleness map"
Guardrails Fiscal,grl-automation,Instrada un'automazione,AR,"Classifica lo scenario, sceglie agenti e workflow BMad e dichiara capability mancanti, scope e approvazioni, includendo social/content e creative video.",route,,anytime,grf-profile:profile,grl-automation:plan,false,{output_folder}/automation/{slug},"run.md, route e handoff.md"
Guardrails Fiscal,grl-automation,Prepara un piano eseguibile,PL,"Costruisce passi idempotenti con input, output, precondizioni, rischio, approvazione e rollback.",plan,[slug],anytime,grl-automation:route,grl-automation:read-only,false,{output_folder}/automation/{slug},"plan.md e run.md"
Guardrails Fiscal,grl-automation,Esegui controlli read-only,RO,"Raccoglie evidenze e confronti riproducibili senza modificare sistemi esterni.",read-only,[slug],anytime,grl-automation:plan,grl-automation:dry-run,false,{output_folder}/automation/{slug},"evidence.md aggiornato"
Guardrails Fiscal,grl-automation,Prepara un dry-run,DR,"Genera e valida diff o payload senza spendere, pubblicare o applicare side effect.",dry-run,[slug],anytime,grl-automation:read-only,grl-automation:execute,false,{output_folder}/automation/{slug},"diff/payload validato e approvals.md"
Guardrails Fiscal,grl-automation,Esegui dopo approvazione,EX,"Applica solo lo scope approvato, registra prima/dopo e osserva il risultato; in caso di errore attiva il rollback.",execute,[slug],anytime,grl-automation:dry-run,,false,{output_folder}/automation/{slug},"execution-log.md, handoff.md e stato del run"
Guardrails Fiscal,grl-automation,Riprendi un'automazione,RS,"Riprende un run esistente dal primo passo non concluso senza duplicare scritture o side effect.",resume,[slug],anytime,,,false,{output_folder}/automation/{slug},"run.md, plan.md e execution-log.md aggiornati"
